run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977141.61287-feb75fc6-40f0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_09-00-26,finished,2025-08-01T04:44:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245977141.61287-feb75fc6-40f0,,e1d1a92b-ccd7-45ea-adbf-32ac0acc417e,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5244975090026855,0.5154639482498169,0.5031909942626953,0.4813186824321747,0.5714925527572632,0.8887903690338135,0.9115661382675172,0.7734981775283813,0.8220218420028687,0.44112756848335266,0.5906537771224976,0.6552579402923584,0.5245535969734192,0.5237449407577515,0.5909215211868286,37692.0,1567,1754062395.130501,200.0,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976333.31435-87e1c2f7-4bb9,resenc_time_conditioned_pretrained_flair_2025-08-01_05-00-33,finished,2025-08-01T05:01:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245976333.31435-87e1c2f7-4bb9,,356ee492-142b-42c3-8f36-2f416d7d0419,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5012169480323792,0.4533627927303314,0.5,0.45116278529167175,0.5541296601295471,0.5090632438659668,0.5003970861434937,0.5,0.45226916670799255,0.5525779724121094,0.551160454750061,0.5558035373687744,0.5,0.4507042169570923,0.5548335909843445,24429.0,1000,1754048903.188004,200.0,1.5230484360873043e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974544.79151-3eb870a7-b62c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_05-26-38,finished,2025-08-01T05:27:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245974544.79151-3eb870a7-b62c,,1522f587-dcd9-4ae8-954a-86460083d916,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5244573354721069,0.5373097658157349,0.5,0.45116278529167175,0.5572396516799927,0.6363366842269897,0.6713370084762573,0.5146633386611938,0.4840801954269409,0.5324506163597107,0.5518743991851807,0.5749008059501648,0.5,0.4507042169570923,0.5552623271942139,21765.0,1000,1754047821.3879244,200.0,1.5230484360873043e-09,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973704.74989-4df06e60-2eb9,resenc_time_conditioned_pretrained_flair_2025-08-01_05-38-47,crashed,2025-08-01T05:39:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245973704.74989-4df06e60-2eb9,,c7ff4610-c48a-4b9c-8987-5e94e7c5b1f6,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,,,,,,,,,,,,,,,,373.422746884,0,1754027150.2302048,,9.523809523809523e-07,0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972836.41721-1501eb6a-c4b4,brainiac_pretrained_flair_2025-08-01_05-56-38,finished,2025-08-01T05:57:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245972836.41721-1501eb6a-c4b4,,5b4ff679-45e5-487c-98e3-b3028cbd9f2a,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5127397775650024,0.5235641002655029,0.5,0.45116278529167175,0.5873692631721497,0.5351755619049072,0.5492937564849854,0.5,0.45226916670799255,0.548287034034729,0.5423641204833984,0.5486111044883728,0.5,0.4507042169570923,0.7272922396659851,10592.0,500,1754038415.0025327,100.0,3.854818796385494e-08,35000,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245972012.95500-d8858890-7367,mri_core_pretrained_flair_2025-08-01_06-19-34,finished,2025-08-01T06:20:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245972012.95500-d8858890-7367,,c51dc3cb-0c0a-4fb2-8e44-9bb208f6ee06,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.4871441125869751,0.4518900215625763,0.5,0.45116278529167175,0.554658055305481,0.4843490719795227,0.45133018493652344,0.5,0.45226916670799255,0.5549852848052979,0.49808794260025024,0.4910714030265808,0.5,0.4507042169570923,0.5553039312362671,18732.0,500,1754047938.8750784,100.0,3.854818796385494e-08,17500,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971195.93579-6ab5b397-4d63,brainmvp_pretrained_flair_2025-08-01_06-27-59,finished,2025-08-01T06:28:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245971195.93579-6ab5b397-4d63,,b366388c-4cc7-402b-9d43-792ce10eb4a4,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5474025011062622,0.5675011873245239,0.5,0.45116278529167175,0.5844167470932007,0.5784153938293457,0.6275171637535095,0.5,0.45226916670799255,0.5437283515930176,0.5361601114273071,0.5357142686843872,0.5,0.4507042169570923,0.595762312412262,8356.0,500,1754038060.408846,100.0,3.854818796385494e-08,8800,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970406.81541-71184682-478a,resenc_time_conditioned_pretrained_flair_2025-08-01_06-32-36,finished,2025-08-01T06:33:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245970406.81541-71184682-478a,,013981bf-c1e4-4ef4-9982-02d0fd0e18be,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5172091722488403,0.5206185579299927,0.5,0.45116278529167175,0.5537909269332886,0.5157937407493591,0.532389760017395,0.5,0.45226916670799255,0.5516650080680847,0.5038815140724182,0.4838789701461792,0.5,0.4507042169570923,0.557763934135437,26489.0,1000,1754056482.6994376,200.0,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969571.87896-0cf92776-2d53,dinov2_pretrained_flair_2025-08-01_06-46-58,finished,2025-08-01T06:47:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245969571.87896-0cf92776-2d53,,c0f91b24-54b6-48bd-8522-0e3d7335f28d,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,,0.5,0.4851992726325989,0.43838977813720703,0.5,0.45116278529167175,0.5723543763160706,0.47604113817214966,0.44928812980651855,0.5,0.45226916670799255,0.555881679058075,0.515582799911499,0.5260416865348816,0.5,0.4507042169570923,0.5559069514274597,15673.0,500,1754046511.9418235,100.0,3.854818796385494e-08,17500,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245968755.86501-daa92042-fb70,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_09-20-39,finished,2025-08-01T09:21:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245968755.86501-daa92042-fb70,,a441c6f9-6e93-4d8b-af28-6513b486eb48,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5397516489028931,0.5677466988563538,0.5,0.45116278529167175,0.5663132071495056,0.6229825615882874,0.7173690795898438,0.5,0.45226916670799255,0.531133770942688,0.5346777439117432,0.5491071343421936,0.5,0.4507042169570923,0.5628342032432556,24033.0,1000,1754064107.4197388,200.0,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245918358.10052-c3dd62b8-c8d9,resenc_pretrained_flair_2025-08-01_21-00-05,finished,2025-08-01T21:00:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245918358.10052-c3dd62b8-c8d9,,ea494aa2-41e5-4e36-a629-59465a33413f,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5724058151245117,0.6026018857955933,0.5,0.45116278529167175,0.5665619373321533,0.7600921392440796,0.8571954965591431,0.5,0.45226916670799255,0.4876543879508972,0.6759967803955078,0.7495039701461792,0.5,0.4507042169570923,0.5268272161483765,23101.0,1000,1754105139.2602715,200.0,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245917532.46537-6791fea5-5856,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_21-23-18,finished,2025-08-01T21:24:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245917532.46537-6791fea5-5856,,0de3270a-7236-470d-aa63-8df287f6bb8d,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5600884556770325,0.5751104354858398,0.5,0.45116278529167175,0.5864161252975464,0.6888242959976196,0.7354642748832703,0.5703102946281433,0.5820063352584839,0.5186007022857666,0.5513524413108826,0.5858135223388672,0.484375,0.44285714626312256,0.559951901435852,23652.0,1000,1754107094.3236854,200.0,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245916683.50738-b1c4a120-0dd1,resenc_time_conditioned_pretrained_flair_2025-08-01_21-27-40,finished,2025-08-01T21:28:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245916683.50738-b1c4a120-0dd1,,feeb3113-369b-40bd-977e-a3fa1fcead3e,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.542685866355896,0.4950908422470093,0.5,0.45116278529167175,0.5543648600578308,0.5137367248535156,0.5260933637619019,0.5,0.45226916670799255,0.5513817667961121,0.5592341423034668,0.4697420597076416,0.5,0.4507042169570923,0.5557190179824829,22695.0,1000,1754106425.18774,200.0,4.5691453082619125e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245884332.43843-3a4f85fc-ea53,resenc_pretrained_flair_2025-08-02_06-27-23,finished,2025-08-02T06:28:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245884332.43843-3a4f85fc-ea53,,2bf4b08a-d874-4443-ad8c-65741c24331e,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5805109143257141,0.5886107087135315,0.5,0.45116278529167175,0.5525922179222107,0.6642404794692993,0.7270973920822144,0.5,0.45226916670799255,0.5286681056022644,0.5645586252212524,0.6254960298538208,0.5,0.4507042169570923,0.5462749004364014,20529.0,1000,1754136621.8978105,200.0,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245883927.65251-27e65404-446a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-02_08-15-33,finished,2025-08-02T06:38:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245883927.65251-27e65404-446a,,1c523d3b-670c-4ac5-be4c-b42208556972,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.553041934967041,0.5716739892959595,0.5,0.45116278529167175,0.5526174306869507,0.6634023189544678,0.7383289337158203,0.5064666271209717,0.4679923355579376,0.52350914478302,0.5963296890258789,0.6160714626312256,0.5,0.4507042169570923,0.555842399597168,24024.0,1201,1754141583.2754204,200.0,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245883544.59955-f818ada0-99d1,resenc_time_conditioned_pretrained_flair_2025-08-02_08-11-10,finished,2025-08-02T06:40:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245883544.59955-f818ada0-99d1,,0905027e-b2b3-4dbb-8daa-436754399f8a,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5458002686500549,0.5621011257171631,0.5,0.45116278529167175,0.5720452070236206,0.5855802297592163,0.6478530168533325,0.5,0.45226916670799255,0.5410704612731934,0.5204070210456848,0.5208333730697632,0.5,0.4507042169570923,0.5586999654769897,28343.0,1191,1754145774.2690015,200.0,4.5691453082619125e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245883152.89550-50343e86-61e4,mri_core_pretrained_flair_2025-08-02_06-52-02,finished,2025-08-02T06:52:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245883152.89550-50343e86-61e4,,e4836d67-5697-4639-9135-5fc71391abfc,t-jiachentu,False,0,Classification,200,False,MRICore,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.48281970620155334,0.4251350164413452,0.5,0.45116278529167175,0.5539230108261108,0.500214695930481,0.4945544004440307,0.5,0.45226916670799255,0.5521625876426697,0.4868870973587036,0.44692462682724,0.5,0.4507042169570923,0.5552717447280884,33022.0,1000,1754150567.509094,200.0,4.5691453082619125e-09,35000,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245882760.58372-7c880086-ca7a,dinov2_pretrained_flair_2025-08-02_06-58-15,finished,2025-08-02T06:58:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_single_flair/runs/7245882760.58372-7c880086-ca7a,,580bc209-a8a6-4a5e-a3cf-ff5a5dd7fe60,t-jiachentu,False,0,Classification,200,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh1_status,True,power,3,False,1,True,epochwise,,0.5,0.5303066372871399,0.5243004560470581,0.5,0.45116278529167175,0.627282977104187,0.48821601271629333,0.45382606983184814,0.5,0.45226916670799255,0.5535954236984253,0.5074493885040283,0.5223214626312256,0.5,0.4507042169570923,0.5552266240119934,26810.0,1000,1754144727.5508237,200.0,4.5691453082619125e-09,35000,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
