run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246063925.74909-4514452d-6ec3,resenc_pretrained_flair_2025-07-31_04-34-07,finished,2025-07-31T04:35:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7246063925.74909-4514452d-6ec3,,e8eafc97-a68d-4989-9b26-f381f99722a5,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5225902795791626,0.5,0.5,0.42424243688583374,0.6636072397232056,0.9994644522666932,0.9996472597122192,0.984920620918274,0.984920620918274,0.3869752883911133,0.5162091255187988,0.46190476417541504,0.40238094329833984,0.3804347813129425,0.8031908273696899,5532.0,500.0,1753942047.792535,100.0,7.709637592770997e-09,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993882.67986-fb506f82-dcff,brainiac_pretrained_flair_2025-08-01_00-01-24,finished,2025-08-01T00:01:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993882.67986-fb506f82-dcff,,2e676e31-e7fd-4e1d-996c-e975fad28b8f,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5447767972946167,0.5317460298538208,0.5,0.42424243688583374,0.8493779897689819,0.8801367282867432,0.9133156538009644,0.8047618865966797,0.8135901093482971,0.48736461997032166,0.6209973692893982,0.6857143044471741,0.6785714626312256,0.6447368860244751,0.776100218296051,5978.0,500.0,1754012488.7912009,100.0,1.927409398192747e-08,4300.0,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993817.34732-0c0ed53b-2f11,brainiac_scratch_flair_2025-08-01_00-03-44,finished,2025-08-01T00:04:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993817.34732-0c0ed53b-2f11,,caf8536d-ccc2-444f-ac8c-91cd22060c30,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,,0.0,0.6977352499961853,0.7317460179328918,0.6619048118591309,0.583677351474762,0.6334914565086365,0.8462514877319336,0.8747795224189758,0.7126984000205994,0.7352808713912964,0.5128735899925232,0.601860523223877,0.6492063403129578,0.6238095760345459,0.6083182692527771,0.855404257774353,6017.0,500.0,1754012667.8027368,100.0,1.927409398192747e-08,4300.0,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993764.66768-2481df67-656c,mri_core_pretrained_flair_2025-08-01_00-03-26,finished,2025-08-01T00:04:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993764.66768-2481df67-656c,,1a27c739-10a4-4ffc-a51b-4c6d17c719da,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5035842061042786,0.48174601793289185,0.5,0.42424243688583374,0.6636609435081482,0.7654905319213867,0.8499118089675903,0.7484127283096313,0.7573357820510864,0.5299962162971497,0.5895072817802429,0.6190476417541504,0.5,0.42424243688583374,0.6735058426856995,9348.0,500.0,1754016000.1361997,100.0,1.927409398192747e-08,8600.0,,mean,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,,,,,,,,,,,,,,,,,
7245993703.64840-0f09a604-2ae3,mri_core_frozen_flair_2025-08-01_00-05-56,finished,2025-08-01T00:06:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993703.64840-0f09a604-2ae3,,2535daad-12cc-4f25-8b8a-0ef58659a50b,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5705417394638062,0.6198412179946899,0.5,0.42424243688583374,0.6195325255393982,0.5813308358192444,0.6081128716468811,0.5,0.42424243688583374,0.6161783337593079,0.601883053779602,0.6484127044677734,0.5,0.42424243688583374,0.6194241642951965,5406.0,500.0,1754012212.8317604,100.0,1.927409398192747e-08,4300.0,,mean,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,,
7245993593.08457-45555166-8c50,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-08-01_00-06-44,finished,2025-08-01T00:07:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993593.08457-45555166-8c50,,4dfbc4ad-0533-43e5-bbb3-e10b9e89d6d0,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.4953246116638184,0.42539680004119873,0.4119047522544861,0.4119047522544861,0.773576021194458,0.9763869047164916,0.9865961074829102,0.9357142448425292,0.9326211810112,0.40062427520751953,0.5536418557167053,0.5126984119415283,0.4404761791229248,0.4348717927932739,0.8353560566902161,6704.0,500.0,1754013536.7162032,100.0,1.927409398192747e-08,4300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993652.18450-67faab9e-4547,brainmvp_pretrained_flair_2025-08-01_00-07-06,finished,2025-08-01T00:07:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993652.18450-67faab9e-4547,,2b91c000-2a84-4fb8-8e41-41089b944de6,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.64432692527771,0.6904761791229248,0.5357142686843872,0.28405797481536865,0.7911100387573242,0.8584915399551392,0.8908289074897766,0.7555555701255798,0.7610547542572021,0.4994973838329315,0.5526820421218872,0.5555555820465088,0.5428571701049805,0.5263158082962036,0.7491556406021118,4673.0,500.0,1754011523.32368,100.0,1.927409398192747e-08,4300.0,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993472.68928-9f9ba65e-8378,resenc_pretrained_flair_2025-08-01_00-07-33,finished,2025-08-01T00:08:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993472.68928-9f9ba65e-8378,,5b064a22-d1b4-4172-a52d-6ba1ef456174,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5460159778594971,0.5111111402511597,0.4880952537059784,0.4018518328666687,0.6840242147445679,0.940773606300354,0.9507055282592772,0.846825361251831,0.864771842956543,0.46073636412620544,0.6155487298965454,0.673015832901001,0.523809552192688,0.5221036672592163,0.6824458837509155,7261.0,500.0,1754014167.0441828,100.0,1.927409398192747e-08,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993532.91288-cea9bae5-36aa,resenc_time_conditioned_pretrained_flair_2025-08-01_00-13-57,finished,2025-08-01T00:15:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993532.91288-cea9bae5-36aa,,04164e8b-be56-4e89-bd02-c2c6b28d73ec,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5632067918777466,0.596825361251831,0.5,0.42424243688583374,0.6207519173622131,0.9871301651000975,0.9920634627342224,0.9507936239242554,0.9475942850112916,0.3737373352050781,0.5246593356132507,0.48650795221328735,0.4714285731315613,0.44480520486831665,1.1378867626190186,12108.0,1000.0,1754019424.1991267,200.0,3.8076210902182585e-09,8600.0,,cls_token,,,,,,,,,False,,256.0,0.5,64.0,,,,,,,,,,,,,,
7245993349.11197-0256aac6-dcc0,dinov2_frozen_flair_2025-08-01_00-22-23,finished,2025-08-01T00:22:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993349.11197-0256aac6-dcc0,,53831511-2caa-413f-b4d9-864b5053373b,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,,0.5,0.4868127703666687,0.42222222685813904,0.39047619700431824,0.3664655387401581,0.715118408203125,0.7320783138275146,0.8100528717041016,0.60317462682724,0.6109022498130798,0.5588931441307068,0.5349810123443604,0.538095235824585,0.5452381372451782,0.4534488320350647,0.7316522598266602,5815.0,500.0,1754013581.4487808,100.0,1.927409398192747e-08,4300.0,,mean,True,,,,,,,,,mean,,,,facebook/dinov2-base,,,,,,,,,,,,,
7245993288.08202-a5adc39e-9699,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_00-22-18,finished,2025-08-01T00:22:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993288.08202-a5adc39e-9699,,08308575-5c0f-4ecf-89fc-5f738ffdba13,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.4172992110252381,0.2904762029647827,0.5,0.42424243688583374,0.7016597390174866,0.9980684518814088,0.998765468597412,0.9626984000205994,0.9693987369537354,0.35759663581848145,0.5346400737762451,0.49047619104385376,0.488095223903656,0.4846292734146118,0.8970620632171631,12176.0,1000.0,1754019949.1607385,200.0,3.8076210902182585e-09,4400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993401.21675-db4a2a4c-2b02,dinov2_pretrained_flair_2025-08-01_00-22-31,finished,2025-08-01T00:22:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245993401.21675-db4a2a4c-2b02,,0f485c5b-d68c-4a29-b905-762ac4b63fa5,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,,0.5,0.5688342452049255,0.5484126806259155,0.5,0.42424243688583374,0.622096836566925,0.9988784790039062,0.9992945194244384,0.9960317611694336,0.9925134778022766,0.34975898265838623,0.5591573715209961,0.5317460298538208,0.5404762029647827,0.5099206566810608,0.8847777843475342,7285.0,500.0,1754015058.4818506,100.0,1.927409398192747e-08,8600.0,,mean,True,,,,,,,,,mean,,,,facebook/dinov2-base,,,,,,,,,,,,,
7245976857.56353-2f339101-cb6f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_04-50-17,crashed,2025-08-01T04:50:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245976857.56353-2f339101-cb6f,,607277b3-bc4e-4324-a793-7a98fc0d4a59,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,,,,,,0.7824246287345886,0.8243386745452881,0.7031745910644531,0.7103685140609741,0.5498267412185669,0.5539758205413818,0.5507936477661133,0.5761904716491699,0.5517948865890503,0.7964680194854736,3295.527574063,185.0,1754027152.9195883,36.0,1.956304755963035e-05,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976065.90715-ce3470c0-3439,resenc_time_conditioned_pretrained_flair_2025-08-01_05-01-35,finished,2025-08-01T05:03:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245976065.90715-ce3470c0-3439,,8a496b64-1147-4145-9297-c99deb1c18e7,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.4623839259147644,0.3690476417541504,0.5,0.42424243688583374,0.6473562121391296,0.9826979637145996,0.9927688837051392,0.947619080543518,0.954098105430603,0.3654096424579621,0.5423816442489624,0.5460317134857178,0.5095238089561462,0.49982449412345886,0.9325808882713318,12256.0,1000.0,1754036840.099514,200.0,1.5230484360873043e-09,8600.0,,cls_token,,,,,,,,,False,,256.0,0.5,64.0,,,,,,,,,,,,,,
7245974239.80224-68cae646-3322,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_05-35-36,crashed,2025-08-01T05:36:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245974239.80224-68cae646-3322,,0495ef69-52fe-4fa7-93bd-51ae86542a81,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,,,,,,0.5562906265258789,0.5550264120101929,0.5158730149269104,0.5144149661064148,0.7061829566955566,0.5060913562774658,0.46190476417541504,0.5,0.42424243688583374,0.6365727186203003,612.171732926,38.0,1754027185.6044197,7.0,7.61904761904762e-06,1367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973391.80595-91cfc8aa-ca87,resenc_time_conditioned_pretrained_flair_2025-08-01_05-45-25,crashed,2025-08-01T05:46:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245973391.80595-91cfc8aa-ca87,,1d5138b6-8628-427d-9782-7b50918a300d,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,,,,,,,,,,,,,,,,,,,,,,,cls_token,,,,,,,,,False,,256.0,0.5,64.0,,,,,,,,,,,,,,
7245972551.87382-a0ca554f-7bd6,brainiac_pretrained_flair_2025-08-01_06-09-04,finished,2025-08-01T06:09:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_flair/runs/7245972551.87382-a0ca554f-7bd6,,85b3fd79-3fe7-40eb-a591-ca3378f42cd9,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.6110074520111084,0.6603174209594727,0.561904788017273,0.5644943714141846,0.6776127815246582,0.8603858947753906,0.89241623878479,0.7452380657196045,0.7593808174133301,0.5015364289283752,0.6365393996238708,0.7047618627548218,0.6785714626312256,0.6447368860244751,0.8254554867744446,6229.0,500.0,1754034796.427267,100.0,3.854818796385494e-08,4300.0,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,
