run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246051729.45676-587f5245-ffd8,brainiac_pretrained_t1c_2025-07-31_08-01-55,finished,2025-07-31T08:02:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051729.45676-587f5245-ffd8,,2ee5d2eb-2de0-400c-8302-b05812600ae2,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.9763404130935668,0.9755351543426514,0.90221905708313,0.9024639129638672,0.443461537361145,0.9413574934005736,0.9410949945449828,0.792792797088623,0.7871148586273193,0.6049187183380127,7941.0,499,1753956878.4927962,99,7.709637592770997e-09,5699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051587.22205-df5d5424-2c54,brainmvp_pretrained_t1c_2025-07-31_08-04-58,finished,2025-07-31T08:05:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051587.22205-df5d5424-2c54,,8c046a10-7ab7-4aeb-851f-e59e65c71c85,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.8654979467391968,0.8580726385116577,0.7753469944000244,0.7753121852874756,0.5516935586929321,0.8294276595115662,0.8419958353042603,0.7331947088241577,0.7301136255264282,0.5979240536689758,6019.0,500,1753955144.6503582,100,7.709637592770997e-09,5700,0.8644387722015381,0.8729729652404785,0.6766892075538635,0.651583731174469,0.6012285351753235,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051657.11812-a88adfd1-2d0b,brainiac_scratch_t1c_2025-07-31_08-05-33,finished,2025-07-31T08:05:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051657.11812-a88adfd1-2d0b,,d47fe433-9707-450d-a31c-809357643b18,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.921521782875061,0.9324865341186525,0.8841841220855713,0.8846305012702942,0.492548942565918,0.5975267291069031,0.5800416469573975,0.5679140686988831,0.5639019012451172,1.159462809562683,7961.0,500,1753957119.5899234,100,7.709637592770997e-09,5700,0.7360969185829163,0.7412161827087402,0.6361486911773682,0.5959183573722839,0.6827831864356995,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051511.20996-b165cc9f-bfde,dinov2_frozen_t1c_2025-07-31_08-05-45,finished,2025-07-31T08:06:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051511.20996-b165cc9f-bfde,,0e0f3dc4-c8f4-4b1e-91cd-0c668b10686c,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.7717151641845703,0.7746412754058838,0.7036383748054504,0.7033946514129639,0.6261106729507446,0.8178205490112305,0.8357588052749634,0.5641025900840759,0.4562289714813232,0.6802520751953125,7514.0,500,1753956683.0215597,100,7.709637592770997e-09,5700,0.6834730505943298,0.6675676107406616,0.5375000238418579,0.40310078859329224,0.7397979497909546,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246051250.15862-fc1bf126-69b9,mri_core_pretrained_t1c_2025-07-31_08-05-52,finished,2025-07-31T08:06:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051250.15862-fc1bf126-69b9,,91d3d626-3512-4dab-ad2c-34ac42a01f2e,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.937811553478241,0.9392299652099608,0.8631302118301392,0.8627647161483765,0.4951472580432892,0.6663334369659424,0.6836451888084412,0.5228690505027771,0.44283732771873474,0.7537076473236084,12405.0,500,1753961589.3541198,100,7.709637592770997e-09,11300,0.7887265682220459,0.7756756544113159,0.6114864945411682,0.5455930233001709,0.6623585820198059,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,
7246051120.45694-f7e86eb3-5d58,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_10-57-07,finished,2025-07-31T08:07:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051120.45694-f7e86eb3-5d58,,f8ecd265-e06a-4dd3-96d4-25a27e6a1d92,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,1.0,0.9999999403953552,1.0,1.0,0.33822280168533325,0.9659857749938964,0.964656949043274,0.8953568935394287,0.8947368264198303,0.47361695766448975,26768.0,1541,1753976809.6768916,200,1.5230484360873043e-09,5800,0.9666114449501038,0.9648648500442504,0.7124999761581421,0.6796889305114746,0.6296202540397644,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051424.08945-8c197b18-db1a,dinov2_pretrained_t1c_2025-07-31_11-02-57,finished,2025-07-31T08:07:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051424.08945-8c197b18-db1a,,f2c9a99a-6eee-46ac-afa0-f0402fb91521,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,,True,0.5,1.0,1.0,1.0,1.0,0.3280586898326874,0.9973219037055968,0.9972280263900756,0.9743589758872986,0.9736841917037964,0.395607590675354,18288.0,966,1753968741.4965177,100,7.709637592770997e-09,11300,0.8360294103622437,0.8277026414871216,0.6229729652404785,0.5722222328186035,0.6908392906188965,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246051045.31695-7db84eaa-fdaf,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-07-31_08-07-46,finished,2025-07-31T08:08:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051045.31695-7db84eaa-fdaf,,73c6edaa-afc9-42a7-bec5-91028288c152,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.9947811365127563,0.9945895075798036,0.9819650650024414,0.9822661876678468,0.3683079481124878,0.9315185546875,0.929313898086548,0.8548163175582886,0.855037271976471,0.5294453501701355,8557.0,500,1753957848.645824,100,7.709637592770997e-09,2900,0.9286444187164308,0.941216230392456,0.5,0.34188035130500793,0.6538495421409607,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051323.18898-5ebe7ce2-0b4a,mri_core_frozen_t1c_2025-07-31_08-09-19,finished,2025-07-31T08:09:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051323.18898-5ebe7ce2-0b4a,,f5dafc57-515c-461b-9019-50477c9129de,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5387857556343079,0.5234847068786621,0.4923939406871796,0.3599693775177002,0.6922722458839417,0.6927872896194458,0.7117117643356323,0.5,0.3391304314136505,0.6928544044494629,7055.0,500,1753956447.8187742,100,7.709637592770997e-09,5700,0.5932655334472656,0.5844594240188599,0.5,0.34188035130500793,0.6925916075706482,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,,
7246050977.67614-7cae88ac-9f23,resenc_time_conditioned_pretrained_t1c_2025-07-31_08-11-04,finished,2025-07-31T08:11:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246050977.67614-7cae88ac-9f23,,ee59aa54-2292-4cd9-8f3d-13f3db248e77,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,1.0,1.0,0.995412826538086,0.9955682158470154,0.3345579206943512,0.9594709277153016,0.9681220054626464,0.9473319053649902,0.9473319053649902,0.40482765436172485,18200.0,1000,1753967706.0536847,200,1.5230484360873043e-09,22600,0.5916447043418884,0.5604729652404785,0.5979729890823364,0.535444974899292,1.0048398971557615,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7246051183.82664-30d52f51-98a8,resenc_pretrained_t1c_2025-07-31_08-11-59,finished,2025-07-31T08:12:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7246051183.82664-30d52f51-98a8,,0a173ea1-49ba-48a3-b684-ab4ee26b21b9,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,1.0,1.0,1.0,1.0,0.33035406470298767,0.98887038230896,0.9882190227508544,0.9480249881744384,0.9473684430122375,0.405486673116684,8835.0,500,1753958388.6082065,100,7.709637592770997e-09,2900,0.5700154900550842,0.5290540456771851,0.6239864826202393,0.564479649066925,0.9171804189682008,,,,,,,,,,,,,,,,,,,,,,,,,,
7245995944.20706-013355f9-fabc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_23-32-26,finished,2025-07-31T23:33:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245995944.20706-013355f9-fabc,,278bc241-9f3e-4f70-a6f6-cda5e8f7d298,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,1.0,1.0,1.0,1.0,0.3346458077430725,0.9659929871559144,0.9643104076385498,0.909563422203064,0.907750964164734,0.44816854596138,14558.0,1000,1754019344.8078568,200,3.8076210902182585e-09,5800,0.9274734258651732,0.9439189434051514,0.6766892075538635,0.651583731174469,0.6196070313453674,,,,,,,,,,,,,,,,,,,,,,,,,,
7245995689.19720-4fec4c4c-0c42,resenc_time_conditioned_pretrained_t1c_2025-07-31_23-32-41,finished,2025-07-31T23:34:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245995689.19720-4fec4c4c-0c42,,61e7a6b6-4724-4a16-a717-30295d0d65fe,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,1.0,1.0,1.0,1.0,0.33079978823661804,0.9051179885864258,0.9341648817062378,0.908177375793457,0.9078788161277772,0.47070083022117615,15329.0,1000,1754020192.5164092,200,3.8076210902182585e-09,11400,0.9218133687973022,0.9175676107406616,0.7864865064620972,0.773725152015686,0.5784531831741333,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7245977460.83644-2d06464a-bd89,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_04-34-07,finished,2025-08-01T04:34:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245977460.83644-2d06464a-bd89,,c51c2c8d-2f74-4cfd-adcd-391e53d33993,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,1.0,1.0,1.0,1.0,0.33656594157218933,0.9592772126197816,0.9577269554138184,0.8839223980903625,0.8810641765594482,0.5130575299263,14199.0,1000,1754037082.80713,200,1.5230484360873043e-09,5800,0.9346166849136353,0.9445945620536804,0.5,0.34188035130500793,0.6535898447036743,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976648.13524-8144645e-f36b,resenc_time_conditioned_pretrained_t1c_2025-08-01_06-20-57,finished,2025-08-01T04:50:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245976648.13524-8144645e-f36b,,c99a5bf9-55d3-4172-ab04-7272a279f696,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,1.0,1.0,1.0,1.0,0.3287515342235565,0.9783772230148317,0.9771310091018676,0.9223839044570924,0.92099791765213,0.4247079193592071,19054.0,1266,1754043721.4164305,200,1.5230484360873043e-09,11400,0.692893385887146,0.6922297477722168,0.6469594240188599,0.6127873659133911,0.9028055667877196,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7245974857.93655-0b629c99-cd72,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_05-17-41,finished,2025-08-01T05:18:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245974857.93655-0b629c99-cd72,,2b6e715c-ae16-48d5-9df9-1799f21f082e,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,1.0,0.9999999403953552,1.0,1.0,0.33317047357559204,0.968299388885498,0.966042935848236,0.8562023639678955,0.8552380800247192,0.5127047300338745,14345.0,1000,1754039845.550414,200,1.5230484360873043e-09,45200,0.9168137907981871,0.9256756901741028,0.637499988079071,0.5749095678329468,0.6434407830238342,,,,,,,,,,,,,,,,,,,,,,,,,,
7245974025.49269-419f3bbe-defd,resenc_time_conditioned_pretrained_t1c_2025-08-01_05-36-58,finished,2025-08-01T05:37:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245974025.49269-419f3bbe-defd,,f531ac71-c1c0-485a-b209-bc3ed346651e,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,1.0,0.9999999403953552,1.0,1.0,0.33079469203948975,0.9854979515075684,0.984753966331482,0.92099791765213,0.92099791765213,0.42363980412483215,15566.0,1000,1754042233.3769374,200,1.5230484360873043e-09,45200,0.726433515548706,0.6878378391265869,0.608445942401886,0.5682763457298279,0.9304816722869872,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7245973152.34434-9122029e-d66f,brainiac_pretrained_t1c_2025-08-01_05-46-37,finished,2025-08-01T05:47:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t1c/runs/7245973152.34434-9122029e-d66f,,201afec0-841b-4b24-83bc-c3264ec7eda2,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.995577335357666,0.995452046394348,0.9596565961837769,0.9600824117660522,0.4006284475326538,0.9357136487960817,0.9331254363059998,0.8191268444061279,0.813725471496582,0.6432370543479919,6833.0,500,1754034061.7400682,100,3.854818796385494e-08,5700,0.7541337609291077,0.7439188957214355,0.6469594240188599,0.6127873659133911,0.9115389585494996,,,,,,,,,,,,,,,,,,,,,,,,,,
