Method,Run_Name,Run_ID,Project_Variant,Test_AUROC,Test_AP,Test_F1,Test_Balanced_Accuracy,Total_Runs,Successful_Runs,Status,Benchmark
SimCLR,resenc_SimCLR_pretrained_multi_flair_t1_t1ce_t2_2025-08-12_23-21-55,7244959559.65646-7491d173-f77a,july,0.7873015403747559,0.7504017353057861,0.6842105388641357,0.723809540271759,3,2,Success,BraTS18
BrainIAC,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-24,7246598273.80880-6a9b145f-89e9,standard,0.7825396656990051,0.7713115215301514,0.4242424368858337,0.5,7,4,Success,BraTS18
MRI-Core,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-29_02-36-16,7246244080.18616-f5ae48b6-c90f,standard,0.6746032238006592,0.5949768424034119,0.4242424368858337,0.5,17,3,Success,BraTS18
MDAE (Combined),resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-29_02-19-22,7246244747.29861-31bf2f88-02d1,standard,0.9664224982261658,0.9454694390296936,0.8302469253540039,0.7967033386230469,1,1,Success,UCSF
MG,resenc_MG_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-28-29,7244955298.94832-75c2a651-6e78,july,0.923076868057251,0.8572482466697693,0.8127027153968811,0.8580585718154907,2,1,Success,UCSF
DinoV2,dinov2_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-29_21-10-04,7246227843.74323-6e418fc0-fc13,standard,0.9172771573066713,0.9135249853134156,0.1749999970197677,0.5,13,3,Success,UCSF
VoCo,resenc_VoCo_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-25-29,7244955421.19721-0626fd73-9c12,july,0.9157508611679076,0.8993326425552368,0.8302469253540039,0.7967033386230469,5,2,Success,UCSF
VF,resenc_VF_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-32-22,7244955371.73895-fb89ad57-19f3,july,0.9017094373703004,0.8606467247009277,0.8069016933441162,0.8122710585594177,1,1,Success,UCSF
BrainMVP,brainmvp_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-25_04-17-20,7246583629.85486-1cddacda-f24c,standard,0.8917748928070068,0.8404883146286011,0.4399999976158142,0.5,7,6,Success,UCSF
MAE,resenc_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-25_06-40-11,7246583604.34777-a71a2d31-6301,standard,0.8775510787963867,0.866253674030304,0.7864923477172852,0.7489177584648132,10,4,Success,UCSF
SwinUNETR,resenc_SwinUNETR_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-26-19,7244955347.18173-73facb0b-7ab0,july,0.865079402923584,0.8508206605911255,0.7839516401290894,0.7600733041763306,4,3,Success,UCSF
MRI-Core,mri_core_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-30_00-20-37,7246231081.13821-e8d9b9c3-1343,standard,0.855311393737793,0.8179923892021179,0.4406779706478119,0.5,13,3,Success,UCSF
S3D,resenc_S3D_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-14_20-28-57,7244796824.89619-7d6d34a8-fec4,july,0.8189865350723267,0.7753574252128601,0.8000621795654297,0.7948718070983887,2,2,Success,UCSF
SimCLR,resenc_SimCLR_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-14_20-28-57,7244796809.24691-64be5de5-0103,july,0.8034188151359558,0.7587567567825317,0.7623456716537476,0.7362637519836426,5,3,Success,UCSF
BrainIAC,brainiac_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-25_04-16-23,7246583654.66297-f1aa68ff-0a1e,standard,0.7680890560150146,0.6971928477287292,0.6201996207237244,0.6991342306137085,10,2,Success,UCSF
ResNet-50,brainiac_scratch_multi_t1_t1c_t2_flair_adc_dwi_2025-07-25_04-15-18,7246583642.66427-4236ee02-bafe,standard,0.6920222640037537,0.6158145666122437,0.4399999976158142,0.5,8,1,Success,UCSF
