run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246050848.18032-9aa57640-a8e9,brainiac_pretrained_t2w_2025-07-31_08-11-59,finished,2025-07-31T08:12:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050848.18032-9aa57640-a8e9,,b5d54376-9331-4b73-9d95-a34fc84bdc6b,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.8498597145080566,0.9278090000152588,0.512499988079071,0.490358829498291,0.4676235318183899,0.9958183765411376,0.9983847141265868,0.9615384340286256,0.9771997332572936,0.3506897985935211,0.977570116519928,0.9914208650588988,0.884615421295166,0.9264646768569946,0.37784117460250854,25505.0,500,1753975046.790352,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050779.58113-60ef8402-e47a,brainiac_scratch_t2w_2025-07-31_08-12-32,finished,2025-07-31T08:12:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050779.58113-60ef8402-e47a,,e1be8683-1e28-4780-a6fb-3423a5ea70a8,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.6772254705429077,0.8324438333511353,0.5919007658958435,0.6120938658714294,0.4827176034450531,0.9807784557342528,0.987553894519806,0.9139041304588318,0.944669246673584,0.3607386648654938,0.9243055582046508,0.9537304639816284,0.8058125972747803,0.8603479862213135,0.40678322315216064,25501.0,500,1753975078.2736204,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050708.29939-d08a76f5-d9f8,brainmvp_pretrained_t2w_2025-07-31_08-13-40,finished,2025-07-31T08:14:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050708.29939-d08a76f5-d9f8,,1c0470eb-bdf4-4e37-8527-683448d610ce,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5620977282524109,0.6642322540283203,0.5,0.4651567935943603,0.5087674856185913,0.908239722251892,0.9587144255638124,0.8201919198036194,0.8425467610359192,0.4007248878479004,0.6701943278312683,0.836225152015686,0.7798824310302734,0.6210324168205261,0.6313169598579407,18293.0,500,1753967936.8398354,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050637.66782-2df98690-7b0c,dinov2_frozen_t2w_2025-07-31_08-15-01,finished,2025-07-31T08:15:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050637.66782-2df98690-7b0c,,ff9e0e79-cd79-44d3-9526-4de15fbcda15,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.4922233819961548,0.4323033690452576,0.5,0.4651567935943603,0.5250173807144165,0.8198129534721375,0.9040895104408264,0.7017853260040283,0.742693305015564,0.44210219383239746,0.7859890460968018,0.87767493724823,0.5128205418586731,0.49166667461395264,0.47848090529441833,26031.0,500,1753975758.3428648,100,7.709637592770997e-09,22900,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246050560.82158-3defb5dd-08d0,dinov2_pretrained_t2w_2025-07-31_08-16-18,finished,2025-07-31T08:16:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050560.82158-3defb5dd-08d0,,318a2a43-03ea-4dcb-8f74-8a9c31958251,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.6047415733337402,0.6230337619781494,0.512499988079071,0.490358829498291,0.6587427258491516,0.7129652500152588,0.8319641351699829,0.582859992980957,0.6091511249542236,0.46572187542915344,0.5716286897659302,0.6245421171188354,0.5124831199645996,0.502520740032196,0.5254202485084534,32887.0,500,1753982686.118024,100,7.709637592770997e-09,45800,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246050475.65654-acdb4e67-b86a,mri_core_frozen_t2w_2025-07-31_08-17-31,finished,2025-07-31T08:18:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050475.65654-acdb4e67-b86a,,956a084e-8aca-4fa1-a469-a94e1b358c41,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.49581584334373474,0.4637172222137451,0.5,0.4651567935943603,0.5062335729598999,0.5175434350967407,0.551966667175293,0.5,0.4658892154693603,0.5028089880943298,0.6046677231788635,0.7153942584991455,0.5,0.4658493995666504,0.5035433173179626,24164.0,500,1753974045.6937754,100,7.709637592770997e-09,22900,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,,
7246050396.84759-7278282c-41f9,mri_core_pretrained_t2w_2025-07-31_08-19-04,finished,2025-07-31T08:19:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050396.84759-7278282c-41f9,,86560f9c-0408-4a85-918f-20518dda2494,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5536465644836426,0.6617509126663208,0.5,0.4651567935943603,0.5152227282524109,0.6781949400901794,0.8206785917282104,0.5109431743621826,0.4901597201824188,0.47200465202331543,0.7380795478820801,0.8661075830459595,0.5,0.4658493995666504,0.48237380385398865,44033.0,500,1753994005.846872,100,7.709637592770997e-09,45800,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,
7246050323.01202-873137d5-c6a4,resenc_pretrained_t2w_2025-07-31_08-26-05,finished,2025-07-31T08:26:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050323.01202-873137d5-c6a4,,f3c674a4-dcbe-4cf3-883c-0073b4e21e6a,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.8039232492446899,0.8774812817573547,0.5,0.4651567935943603,0.4843505918979645,0.9998893737792968,0.9999679327011108,0.9944748878479004,0.9926778078079224,0.32887589931488037,0.9211856126785278,0.9709851741790771,0.8798438310623169,0.8192130923271179,0.4467131197452545,24686.0,500,1753975084.952655,100,7.709637592770997e-09,11500,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050242.33332-29ff64dc-1498,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_08-26-30,finished,2025-07-31T08:27:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050242.33332-29ff64dc-1498,,32ec5cf2-55f4-4c02-b0f7-e7ac00f1a46a,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.8002246022224426,0.8897939920425415,0.4981273412704468,0.46422338485717773,0.45320314168930054,0.9999629855155944,0.9999892711639404,0.9993742108345032,0.9975593090057372,0.32918548583984375,0.8660305142402649,0.9366203546524048,0.8013784885406494,0.7886641025543213,0.4511176943778992,48905.0,1000,1753999330.1907136,200,1.5230484360873043e-09,23000,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050158.26438-05d16e5d-8539,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-07-31_08-32-27,finished,2025-07-31T08:33:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246050158.26438-05d16e5d-8539,,7960c629-9210-46f4-9b3a-4b4b571563a7,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.926967442035675,0.9417603015899658,0.5,0.4651567935943603,0.47848132252693176,0.9950411319732666,0.9956088066101074,0.9780067205429076,0.985083818435669,0.33794689178466797,0.8753653168678284,0.9445247650146484,0.8382976651191711,0.8382976651191711,0.425725519657135,26036.0,500,1753976813.614647,100,7.709637592770997e-09,11500,,,,,,,,,,,,,,,,,,,,,,,,,,
7246043288.94271-1aa0a12f-b7f2,brainmvp_pretrained_t2w_2025-07-31_10-21-58,finished,2025-07-31T10:22:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7246043288.94271-1aa0a12f-b7f2,,a9c20e75-2c4d-44ed-8e76-afbad443a0b9,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5924352407455444,0.71587073802948,0.5031366944313049,0.4830067455768585,0.5028406977653503,0.948127031326294,0.9800551533699036,0.8368741273880005,0.8764147758483887,0.3834659159183502,0.7753984928131104,0.8331887722015381,0.5769230723381042,0.6041297912597656,0.4709774851799011,17944.0,500,1753975287.4759316,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7245995984.89755-80794de5-2d94,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_23-32-18,finished,2025-07-31T23:33:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245995984.89755-80794de5-2d94,,41b7807f-5799-44f4-9a7d-692c3d48505b,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.953952431678772,0.9660580158233644,0.5,0.4651567935943603,0.4264313280582428,0.9965457320213318,0.996657133102417,0.990827202796936,0.9926241636276244,0.33049407601356506,0.8976294994354248,0.9185463786125184,0.8345382809638977,0.8273584842681885,0.4251152276992798,41811.0,1000,1754046585.933704,200,3.8076210902182585e-09,23000,,,,,,,,,,,,,,,,,,,,,,,,,,
7245977504.34873-c684c742-ef3f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_04-33-28,finished,2025-08-01T04:34:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245977504.34873-c684c742-ef3f,,745b3689-c4de-40ac-aac9-adf6a81a2737,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.917483925819397,0.942883849143982,0.5,0.4651567935943603,0.48551881313323975,0.9970942139625548,0.9978123903274536,0.995726466178894,0.9975414276123048,0.3300847113132477,0.927881956100464,0.9612010717391968,0.8439368009567261,0.8555763363838196,0.4122743010520935,40892.0,1000,1754063733.7557857,200,1.5230484360873043e-09,23000,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976691.50147-034e817c-b5e7,resenc_time_conditioned_pretrained_t2w_2025-08-01_06-18-23,finished,2025-08-01T04:50:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245976691.50147-034e817c-b5e7,,421deba9-08c7-48bd-b124-47b263223d6c,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.6783740520477295,0.6865168809890747,0.6325374841690063,0.6489562392234802,0.5216442346572876,0.9999629259109496,0.9999892711639404,0.9993742108345032,0.9975593090057372,0.32879403233528137,0.938716471195221,0.9805764555931092,0.9148833751678468,0.8591992855072021,0.41465285420417786,50644.0,1091,1754075144.8318925,200,1.5230484360873043e-09,45800,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7245974897.55879-97baa719-7dfd,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_15-56-56,finished,2025-08-01T05:18:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245974897.55879-97baa719-7dfd,,59bf9e3b-5c89-4014-82de-92a61ab41766,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.6688916683197021,0.8227059841156006,0.49438202381134033,0.46234676241874695,0.5134350657463074,0.9995620250701904,0.9998716711997986,0.9902014136314392,0.9902014136314392,0.33166083693504333,0.7434413433074951,0.8901098966598511,0.7935222387313843,0.7484743595123291,0.5188822150230408,87322.0,1741,1754114094.5713992,200,1.5230484360873043e-09,183200,,,,,,,,,,,,,,,,,,,,,,,,,,
7245974068.39402-adefc1c7-e518,resenc_time_conditioned_pretrained_t2w_2025-08-01_05-30-45,finished,2025-08-01T05:32:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245974068.39402-adefc1c7-e518,,4723ca0a-3c87-450b-ab93-3b6b814908e2,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.8693348169326782,0.9115169048309326,0.5,0.4651567935943603,0.5157286524772644,0.9999265670776368,0.9999786019325256,0.995726466178894,0.9975414276123048,0.32994362711906433,0.9573907852172852,0.9848660230636596,0.9061596393585204,0.8932297229766846,0.3882505297660827,57610.0,1000,1754083923.230311,200,1.5230484360873043e-09,183200,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
7245973190.13276-32e7e724-af1e,brainiac_pretrained_t2w_2025-08-01_05-46-06,finished,2025-08-01T05:46:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245973190.13276-32e7e724-af1e,,50cede3e-ae99-445f-8ff1-1ab3001a4908,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.7937268018722534,0.915730357170105,0.5606273412704468,0.5770055055618286,0.46463021636009216,0.9994484186172484,0.9998395442962646,0.985927939414978,0.9877068996429444,0.3374226987361908,0.9777793884277344,0.9925776124000548,0.9683824777603148,0.9262653589248656,0.37740784883499146,23166.0,500,1754050365.4668126,100,3.854818796385494e-08,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7245972366.29213-4edce13b-49ad,mri_core_pretrained_t2w_2025-08-01_06-12-05,finished,2025-08-01T06:12:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t2w/runs/7245972366.29213-4edce13b-49ad,,9e8fc05b-f350-4dbf-8e24-493ab3a5bf92,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.4970122575759888,0.4795880317687988,0.5,0.4651567935943603,0.5066093802452087,0.6308715343475342,0.7561428546905518,0.509691596031189,0.4891435205936432,0.483142226934433,0.5695884823799133,0.6553402543067932,0.5,0.4658493995666504,0.5083653926849365,43768.0,500,1754072521.870638,100,3.854818796385494e-08,45800,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,
