run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_pretrained_checkpoint_path,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245992514.97396-f993f8f7-2e55,brainiac_scratch_t2_2025-08-01_00-28-16,finished,2025-08-01T00:28:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992514.97396-f993f8f7-2e55,,6a38c0fe-7819-4332-8261-7a7630e162a1,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.5302733182907104,0.5053571462631226,0.5136904716491699,0.41218864917755127,0.6817685961723328,0.6866856217384338,0.697013795375824,0.6026543974876404,0.5971930027008057,0.6487297415733337,0.47155600786209106,0.4519927501678467,0.5063405632972717,0.4065934121608734,0.7339481711387634,9603.0,500.0,1754017722.398595,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7245992458.95905-385805c2-1947,mri_core_pretrained_t2_2025-08-01_00-28-11,finished,2025-08-01T00:29:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992458.95905-385805c2-1947,,cd454835-9a15-4318-acd6-9658e4418258,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,0.49076396226882935,0.4794642925262451,0.5,0.3723404109477997,0.6824869513511658,0.5187020897865295,0.5125101804733276,0.5,0.3727598488330841,0.6820032000541687,0.5047412514686584,0.5072463750839233,0.5,0.3709677457809448,0.6827852725982666,17165.0,500.0,1754025327.8223011,100.0,1.927409398192747e-08,17500.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,
7245992565.59477-76789f76-d3d7,brainiac_pretrained_t2_2025-08-01_00-29-21,finished,2025-08-01T00:29:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992565.59477-76789f76-d3d7,,264b83fe-9035-4cad-b2a2-33e02466db07,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.5296359062194824,0.5007440447807312,0.4898809492588043,0.46846848726272583,0.7299748063087463,0.5600854754447937,0.5723016262054443,0.4975961446762085,0.37163373827934265,0.6786412596702576,0.4657266438007355,0.44701087474823,0.5,0.3709677457809448,0.685857892036438,9571.0,500.0,1754017757.4509535,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,
7245992179.44030-16b3ade8-cca7,resenc_pretrained_t2_2025-08-01_00-29-24,finished,2025-08-01T00:30:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992179.44030-16b3ade8-cca7,,ab1c55ba-69db-46c8-9d06-0cfc3d95fcb0,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.5871607661247253,0.6075892448425293,0.5,0.3723404109477997,0.6817680597305298,0.6127293705940247,0.6188380718231201,0.5478399395942688,0.4823898673057556,0.6715432405471802,0.541108250617981,0.5424214601516724,0.5076992511749268,0.4623161852359772,0.6850847601890564,11784.0,500.0,1754019984.2667668,100.0,1.927409398192747e-08,4400.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,,,
7245992397.33681-8d1c67e5-8677,mri_core_frozen_t2_2025-08-01_00-29-25,finished,2025-08-01T00:30:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992397.33681-8d1c67e5-8677,,9364ec6b-c379-4765-9dce-4124b4f45732,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.5,0.5,0.5,0.3723404109477997,0.6820101141929626,0.5060789585113525,0.492669939994812,0.5,0.3727598488330841,0.682439923286438,0.4593674838542938,0.4150060415267944,0.5,0.3709677457809448,0.6828187704086304,8648.0,500.0,1754016856.4146037,100.0,1.927409398192747e-08,8800.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,
7245992119.33407-552faf8f-b6de,dinov2_pretrained_t2_2025-08-01_02-13-47,finished,2025-08-01T00:31:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992119.33407-552faf8f-b6de,,681113b9-87df-4871-919b-c2694142e85f,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,0.56265789270401,0.5813987851142883,0.5,0.3723404109477997,0.6825199723243713,0.5167203545570374,0.510258674621582,0.4974268674850464,0.3830787241458893,0.6833320260047913,0.45288899540901184,0.37122583389282227,0.5,0.3709677457809448,0.6829923987388611,18173.0,689.0,1754026951.7255015,100.0,1.927409398192747e-08,17500.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,
7245992066.44493-82d402bd-bfa1,dinov2_frozen_t2_2025-08-01_00-31-16,finished,2025-08-01T00:31:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992066.44493-82d402bd-bfa1,,b802a208-07bc-47c7-bb08-e34af58f355d,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6135724186897278,0.601934552192688,0.5464285612106323,0.5033382177352905,0.6898723244667053,0.5819687247276306,0.5967293977737427,0.5512256026268005,0.5457392334938049,0.6905249953269958,0.5442923307418823,0.5492149591445923,0.5036231875419617,0.41069352626800537,0.6995881795883179,8431.0,500.0,1754016730.4572835,100.0,1.927409398192747e-08,8800.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,
7245991999.84306-c89359ba-8955,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_00-31-29,finished,2025-08-01T00:32:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245991999.84306-c89359ba-8955,,0a4571ff-d8f3-42c3-8934-0b963e65616b,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.5119796991348267,0.49910712242126465,0.5,0.3723404109477997,0.6953862309455872,0.8716397881507874,0.8740689754486084,0.7953683733940125,0.798835039138794,0.5435900688171387,0.5570749640464783,0.5492149591445923,0.49728262424468994,0.4959893226623535,0.7661416530609131,19358.0,1000.0,1754027683.7515752,200.0,3.8076210902182585e-09,8800.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245992344.17533-7f7c50a8-069f,brainmvp_pretrained_t2_2025-08-01_00-32-15,crashed,2025-08-01T00:32:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992344.17533-7f7c50a8-069f,,396945a4-9399-40e3-b396-fe017a815765,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245992282.59756-e3bc480e-3605,resenc_multimodal_mm_mdae_pretrained_pretrained_t2_2025-08-01_00-33-56,finished,2025-08-01T00:34:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992282.59756-e3bc480e-3605,,10c8c860-d1e8-4540-b655-135b1b6049bd,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,,,0.2,0.5132846832275391,0.5258928537368774,0.5,0.3723404109477997,0.6929051280021667,0.6723687648773193,0.6737879514694214,0.623781144618988,0.6220197677612305,0.6533803939819336,0.58293217420578,0.5756340026855469,0.5620471239089966,0.5517988204956055,0.6811417937278748,11044.0,500.0,1754019507.2814012,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245992230.95205-e5955075-2ef1,resenc_time_conditioned_pretrained_t2_2025-08-01_00-33-58,finished,2025-08-01T00:35:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245992230.95205-e5955075-2ef1,,85fdd713-0362-4264-90d8-02498b9e37c0,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.4911491572856903,0.48154762387275696,0.5,0.3723404109477997,0.6842959523200989,0.6974796056747437,0.7213739156723022,0.6444000601768494,0.6465773582458496,0.6377028226852417,0.6201424598693848,0.6219806671142578,0.6299818754196167,0.6313686370849609,0.6727032661437988,20800.0,1000.0,1754029328.8548985,200.0,3.8076210902182585e-09,17600.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,
7245977217.54968-b524b660-5b93,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_06-03-03,finished,2025-08-01T04:50:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245977217.54968-b524b660-5b93,,283845ca-bba1-4f65-9590-f6b876b93257,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.5034738779067993,0.5122023820877075,0.538690447807312,0.5277301073074341,0.6963968276977539,0.8960394263267517,0.89763343334198,0.8171722888946533,0.8253355026245117,0.5200057625770569,0.5301839113235474,0.5220410823822021,0.5221920013427734,0.5209558606147766,0.8371480107307434,23249.0,1101.0,1754048119.5402975,200.0,1.5230484360873043e-09,8800.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245976404.61750-c5dfdb17-bbdf,resenc_time_conditioned_pretrained_t2_2025-08-01_04-59-04,crashed,2025-08-01T04:59:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245976404.61750-c5dfdb17-bbdf,,4a6b7687-fac2-44ec-871e-7f734d6ebfce,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,,,,,,0.4592207074165344,0.43121951818466187,0.46800512075424194,0.43840858340263367,0.710460901260376,0.4846307337284088,0.4448973536491394,0.5,0.3709677457809448,0.6833237409591675,2701.535140407,95.0,1754027091.0707333,18.0,1.904761904761905e-05,1672.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,
7245974618.20113-8a269f2d-d8ab,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_05-27-23,crashed,2025-08-01T05:28:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245974618.20113-8a269f2d-d8ab,,ca3dc3c4-1244-4667-bc0b-80c4ea489deb,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,,,0.2,,,,,,0.5186851024627686,0.5082780122756958,0.5124255418777466,0.5111689567565918,0.7744251489639282,0.5984544157981873,0.5896738767623901,0.5806159377098083,0.5711144208908081,0.6885132193565369,1087.0,30.0,1754027063.1884696,5.0,6.6666666666666675e-06,2100.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245973772.34827-2aba7f3a-a752,resenc_time_conditioned_pretrained_t2_2025-08-01_05-56-18,finished,2025-08-01T05:43:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245973772.34827-2aba7f3a-a752,,4214cb86-4dea-4c88-bc0d-40e38f58facf,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,,0.5,0.4267539381980896,0.3739583194255829,0.5,0.3723404109477997,0.6845922470092773,0.6420905590057373,0.6680660843849182,0.5990655422210693,0.5998393893241882,0.6530752182006836,0.5751924514770508,0.5868055820465088,0.5575181245803833,0.555795431137085,0.6720878481864929,26007.0,1000.0,1754053687.307473,200.0,1.5230484360873043e-09,70000.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,
7245972077.26798-c26ff1e4-edc8,mri_core_pretrained_t2_2025-08-01_06-10-24,finished,2025-08-01T06:11:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245972077.26798-c26ff1e4-edc8,,aed2378d-aaab-484b-9c7e-ae9ad0e30630,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,0.5078573226928711,0.5157737731933594,0.5,0.3723404109477997,0.6820855140686035,0.49914610385894775,0.49148496985435486,0.5011172890663147,0.3792465925216675,0.6845921277999878,0.5,0.5,0.5,0.3709677457809448,0.6826456189155579,19093.0,500.0,1754047752.831293,100.0,3.854818796385494e-08,17500.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,
7245971268.47433-1b3f44e2-0990,brainmvp_pretrained_t2_2025-08-01_06-27-53,finished,2025-08-01T06:28:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245971268.47433-1b3f44e2-0990,,0ad73af5-98dd-48b6-8e2e-f9d41e26938e,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5290607213973999,0.5358631014823914,0.5,0.3723404109477997,0.7633376717567444,0.5821183919906616,0.596915602684021,0.4975961446762085,0.37163373827934265,0.6769845485687256,0.5583627820014954,0.5634058117866516,0.5276268124580383,0.5046228170394897,0.685675323009491,8204.0,500.0,1754037901.3816926,100.0,3.854818796385494e-08,8800.0,,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,,,,
7245970473.44438-2e076ad2-b8d9,resenc_time_conditioned_pretrained_t2_2025-08-01_06-31-47,finished,2025-08-01T06:32:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t2/runs/7245970473.44438-2e076ad2-b8d9,,b6ee2112-91cb-48c3-89e6-b1845070a790,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.5086781978607178,0.5017857551574707,0.5,0.3723404109477997,0.6818682551383972,0.5081809759140015,0.4974099397659302,0.5,0.3727598488330841,0.6825278401374817,0.5779503583908081,0.579106330871582,0.5,0.3709677457809448,0.6827023029327393,26848.0,1000.0,1754056792.295079,200.0,7.615242180436517e-09,17600.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,
