run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_pretrained_checkpoint_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_dropout_prob,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246073092.89012-c3a739f9-f6de,dinov2_pretrained_t1_2025-07-31_02-00-09,failed,2025-07-31T02:00:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246073092.89012-c3a739f9-f6de,,da8ea1b7-d2dd-4d46-891d-7015ee355d5d,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072786.24526-114ded27-8f9f,mri_core_pretrained_t1_2025-07-31_02-05-33,failed,2025-07-31T02:06:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072786.24526-114ded27-8f9f,,290baf0b-b2ff-4af6-bd9f-249063f52c3f,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,2.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072937.92593-ee4d8d45-9985,mri_core_frozen_t1_2025-07-31_02-05-53,failed,2025-07-31T02:06:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072937.92593-ee4d8d45-9985,,9e2860fa-884f-421d-ae46-2b25fa051265,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,8.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,2.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072637.02124-177e68de-f654,resenc_pretrained_t1_2025-07-31_02-08-53,failed,2025-07-31T02:09:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072637.02124-177e68de-f654,,e976c316-3067-4a13-8cd8-5e74d4559299,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,2.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072477.21222-726128af-ad78,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-31_02-10-38,failed,2025-07-31T02:11:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072477.21222-726128af-ad78,,f9944610-306a-4234-b0cb-717a12289e0d,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,2.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072325.24537-3df4e734-6266,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-31_02-13-17,failed,2025-07-31T02:13:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072325.24537-3df4e734-6266,,237d082c-b9f9-4848-8603-8de43c5b4bf0,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,2.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072181.91731-90a43f8d-a477,resenc_time_conditioned_pretrained_t1_2025-07-31_02-15-21,failed,2025-07-31T02:15:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246072181.91731-90a43f8d-a477,,f888880c-874e-47ff-81ee-ddb7661af185,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,1.0,,,,,,,,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,0.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246073399.30066-9fc19821-ab9c,brainmvp_pretrained_t1_2025-07-31_02-45-43,failed,2025-07-31T02:46:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246073399.30066-9fc19821-ab9c,,59ff3137-59cb-431f-8a9d-5422291a96fe,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,2.0,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246062700.87334-4d73509c-8a83,brainiac_pretrained_t1_2025-07-31_04-54-34,finished,2025-07-31T04:55:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246062700.87334-4d73509c-8a83,,a45ddd1d-b4b5-412b-a9c9-8c59f4fb727a,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,8533.0,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,0.2,0.5673267245292664,0.6028693318367004,0.5219780206680298,0.5068225860595703,0.7531053423881531,0.7562383413314819,0.7660048007965088,0.6687040328979492,0.6936684846878052,0.5285308957099915,0.6689937114715576,0.6846010684967041,0.6385281682014465,0.6501784920692444,0.6248974800109863,500.0,1753946241.0904143,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,
7246062555.09289-297de768-42b8,brainiac_scratch_t1_2025-07-31_04-56-15,finished,2025-07-31T04:56:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246062555.09289-297de768-42b8,,0b3756dc-66a8-47bf-8dec-cff72549cb75,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,8269.0,,,,,,,,,,,,,0.2,0.5662031173706055,0.6214896440505981,0.4725274741649628,0.44999998807907104,0.7008348107337952,0.8200831413269043,0.8551794290542603,0.6673967838287354,0.7019193768501282,0.49479299783706665,0.6428309082984924,0.7124303579330444,0.5627705454826355,0.5670682787895203,0.6165884733200073,500.0,1753946066.6448925,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,
7246062060.91875-8e428289-2c29,dinov2_pretrained_t1_2025-07-31_05-07-23,finished,2025-07-31T05:07:48Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246062060.91875-8e428289-2c29,,6056e951-eea1-45bc-bb3c-a53eb76ee99b,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,12590.0,,,,,,,,,,,,,,0.8230781555175781,0.8656898736953735,0.7252747416496277,0.7636363506317139,0.49903470277786255,0.9997212886810304,0.9998586773872375,0.9754098653793336,0.9841829538345336,0.3483465313911438,0.8603230714797974,0.8738404512405396,0.701298713684082,0.7385671138763428,0.4847164452075958,500.0,1753951057.9843504,100.0,7.709637592770997e-09,14700.0,,,,,,,,,,,,
7246061916.28792-9e5b5fa4-f3ab,mri_core_frozen_t1_2025-07-31_05-09-38,failed,2025-07-31T05:10:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061916.28792-9e5b5fa4-f3ab,,26381e2f-1d9d-4517-b8a5-0d92df42b033,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,8.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,930.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246061769.99266-b077454c-3b95,mri_core_pretrained_t1_2025-07-31_05-10-33,finished,2025-07-31T05:11:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061769.99266-b077454c-3b95,,fc1eed87-8d9e-438f-b17c-10c63fcf6b69,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,16355.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,0.5394220948219299,0.569597065448761,0.5,0.4406779706478119,0.5842515230178833,0.6586947441101074,0.6944601535797119,0.5306317210197449,0.5048367977142334,0.5563580393791199,0.5824850797653198,0.5834879875183105,0.5,0.4399999976158142,0.5938841104507446,500.0,1753955023.020589,100.0,7.709637592770997e-09,14700.0,,,,,,,,,,,,
7246061617.89200-411e9d11-0bfe,resenc_pretrained_t1_2025-07-31_05-11-30,finished,2025-07-31T05:12:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061617.89200-411e9d11-0bfe,,150bcfb2-6f38-459c-bedb-498f1bb524e0,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,11042.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,0.5778352618217468,0.6144688129425049,0.5,0.4406779706478119,0.5691585540771484,0.8312380313873291,0.8237351179122925,0.739436149597168,0.7845960855484009,0.5007829666137695,0.7423453330993652,0.7207791805267334,0.6428571343421936,0.6778435111045837,0.5312701463699341,500.0,1753949766.2344534,100.0,7.709637592770997e-09,3700.0,,,,,,,,,,,,
7246062211.46178-06d3301d-4c37,dinov2_frozen_t1_2025-07-31_05-13-53,failed,2025-07-31T05:14:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246062211.46178-06d3301d-4c37,,9a80f536-4931-449c-a228-acfdcb20e9bc,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246061467.87349-aaa7c429-2f8e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-31_05-14-08,finished,2025-07-31T05:14:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061467.87349-aaa7c429-2f8e,,8e534295-df05-427c-a6c1-277c7fe25ef7,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,21216.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,0.685883641242981,0.7246642112731934,0.6153846383094788,0.6265432238578796,0.6388395428657532,0.9944858551025392,0.9968202114105223,0.9629027843475342,0.9685622453689576,0.3613080084323883,0.8423402309417725,0.847866415977478,0.7597402334213257,0.783443808555603,0.519001305103302,1000.0,1753960098.809669,200.0,3.8076210902182607e-10,7400.0,,,,,,,,,,,,
7246061317.94588-1c6388dd-87ae,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-31_05-17-00,finished,2025-07-31T05:17:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061317.94588-1c6388dd-87ae,,e973db4a-2dea-4322-8103-5f224a44f23e,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,11204.0,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,0.6335854530334473,0.6456043720245361,0.610805869102478,0.6272590160369873,0.5822510719299316,0.9449539184570312,0.958981156349182,0.8559213876724243,0.8785789608955383,0.4172093272209167,0.778876543045044,0.8237476348876953,0.7597402334213257,0.783443808555603,0.5236602425575256,500.0,1753950252.6555717,100.0,7.709637592770997e-09,3700.0,,,,,,,,,,,,
7246061172.64272-65fcdffd-3088,resenc_time_conditioned_pretrained_t1_2025-07-31_05-20-45,finished,2025-07-31T05:21:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246061172.64272-65fcdffd-3088,,cdaf21e1-4109-4c9c-a77b-38ce2f9cd36f,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,22044.0,,,,,,,,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,0.5,64.0,,0.6509535312652588,0.6996337175369263,0.6437729001045227,0.6462637782096863,0.6578114032745361,0.9835023283958436,0.9810627698898317,0.9792962074279784,0.9792962074279784,0.3553929626941681,0.7301385402679443,0.77489173412323,0.6688311696052551,0.6834948062896729,0.598036527633667,1000.0,1753961341.3240662,200.0,3.8076210902182607e-10,14800.0,,,,,,,,,,,,
7246055841.73267-84166b19-21ed,brainmvp_pretrained_t1_2025-07-31_06-48-38,finished,2025-07-31T06:49:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246055841.73267-84166b19-21ed,,7d7c0c28-5a26-4701-8f4c-a3573e0ab1a7,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,6015.0,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,0.2,0.6440345048904419,0.7176434993743896,0.5,0.4406779706478119,0.6212289929389954,0.6160356998443604,0.673827052116394,0.5,0.441904753446579,0.564141571521759,0.49870097637176514,0.48051947355270386,0.5,0.4399999976158142,0.6127148270606995,500.0,1753950570.4667652,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,
