Modality,Fixed_Mean,Fixed_Std,Random_Mean,Random_Std,Difference
FLAIR,0.45964911893794413,0.06944747846790436,0.5113591179251671,0.0999696462564812,-0.05170999898722295
T1,0.5635912735015154,0.08143794905729004,0.5163690503686666,0.1299077692548663,0.04722222313284874
T2,0.6121031679213047,0.06280282133765418,0.6293154694139957,0.05174008367652746,-0.01721230149269104
