run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246475029.81974-3d147002-b096,brainmvp_pretrained_t1_2025-07-26_10-27-00,finished,2025-07-26T10:27:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246475029.81974-3d147002-b096,,c092ba66-2552-4df5-98cd-b21934558e6b,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4377819299697876,0.3420634865760803,0.5,0.2083333283662796,0.7318992614746094,0.5668918490409851,0.6015872955322266,0.5,0.42424243688583374,0.6154029965400696,0.5166128873825073,0.4714285731315613,0.5,0.42424243688583374,0.6368638873100281,3593,500,1753529233.7968986,100,3.854818796385494e-08,4300,,,,,,,,,
7246422600.05233-e4a519ca-a030,brainmvp_pretrained_t1_2025-07-27_00-53-59,finished,2025-07-27T00:54:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246422600.05233-e4a519ca-a030,,1919acc9-42f7-4823-bd59-806f71f20059,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5328114032745361,0.5388888716697693,0.5,0.42424243688583374,0.6252714991569519,0.8613429069519043,0.9038801193237304,0.7777777910232544,0.7797664403915405,0.4872279465198517,0.5274338722229004,0.46984127163887024,0.5,0.42424243688583374,0.7278988361358643,8914,1500,1753586580.7683,300,3.1471622649714703e-10,6600,,,,,,,,,
7246390271.99125-ccdf91a4-1578,dinov2_pretrained_t1_2025-07-27_09-59-49,finished,2025-07-27T10:00:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246390271.99125-ccdf91a4-1578,,d446dd5e-6549-4e1b-9a61-8dc08da09cec,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,True,0.5,0.51214998960495,0.5063492059707642,0.4452380836009979,0.4461717903614044,0.7126210927963257,1.0,1.0,1.0,1.0,0.3292352259159088,0.5922372341156006,0.6174602508544922,0.5404762029647827,0.5099206566810608,0.7537078857421875,24427,1500,1753634834.736007,300,3.1471622649714703e-10,51300,facebook/dinov2-base,mean,,,,,,,
7246389854.11768-81d09340-4c91,brainmvp_pretrained_t1_2025-07-27_10-05-39,finished,2025-07-27T10:05:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246389854.11768-81d09340-4c91,,5c90ff85-ea16-4ecf-a555-fc04c4168baf,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5393972396850586,0.5269840955734253,0.5,0.42424243688583374,0.9733319878578186,0.8975604176521301,0.9185185432434082,0.8190476298332214,0.8190476298332214,0.4723955988883972,0.4860495328903198,0.4650793671607971,0.4952380955219269,0.482560932636261,0.7283890843391418,13690,1500,1753624448.249846,300,3.1471622649714703e-10,12900,,,,,,,,,
7246389120.25203-ac1dedc8-7333,brainiac_scratch_t1_2025-07-27_10-18-25,finished,2025-07-27T10:18:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246389120.25203-ac1dedc8-7333,,3e530892-f694-4374-a453-c6cea8654784,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5747546553611755,0.4761904776096344,0.5,0.42424243688583374,0.6479098200798035,0.8390804529190063,0.8509700298309326,0.7269841432571411,0.7448620796203613,0.5193461179733276,0.5922321081161499,0.528571367263794,0.5523809790611267,0.5238890647888184,0.8975930213928223,27140,1500,1753638664.2974198,300,3.1471622649714703e-10,12900,,,,,,,,,
7246388760.61238-ed2dbf1a-a28d,mri_core_pretrained_t1_2025-07-27_10-23-35,finished,2025-07-27T10:23:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246388760.61238-ed2dbf1a-a28d,,306bee8c-d785-4e70-87d3-f62431c4570e,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,,0.5,0.5292866826057434,0.5444444417953491,0.538095235824585,0.5389527082443237,0.7180555462837219,1.0,1.0,1.0,1.0,0.3288629651069641,0.5705082416534424,0.5444444417953491,0.561904788017273,0.518831193447113,0.9362739324569702,48751,1500,1753660583.2687914,300,3.1471622649714703e-10,51300,,mean,224.0,,,,,,
7246388411.17644-ec8484e3-7823,resenc_pretrained_t1_2025-07-27_10-29-44,finished,2025-07-27T10:30:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246388411.17644-ec8484e3-7823,,58f760c0-a939-4e6a-99aa-359d77b45ccd,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.5810244083404541,0.6015872955322266,0.5095238089561462,0.49982449412345886,0.6693078279495239,1.0,1.0,0.9888888597488404,0.9924057722091676,0.3413953483104706,0.5861845016479492,0.54365074634552,0.5023809671401978,0.4452119469642639,0.9805664420127868,20735,1500,1753632948.7177577,300,3.1471622649714703e-10,6600,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388041.92574-bee1ef6e-3e2a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_10-31-07,finished,2025-07-27T10:31:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246388041.92574-bee1ef6e-3e2a,,f318dd1b-f672-49f4-a85f-f6d034332b9b,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.6014555096626282,0.649206280708313,0.4642857015132904,0.40625,0.7155923247337341,1.0,1.0,1.0,1.0,0.34050288796424866,0.43455708026885986,0.35476189851760864,0.38809525966644287,0.34360411763191223,1.3494632244110107,21167,1500,1753633464.964523,300,3.1471622649714703e-10,6600,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334370.75399-db5d7d57-d39a,dinov2_pretrained_t1_2025-07-28_01-25-08,finished,2025-07-28T01:25:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246334370.75399-db5d7d57-d39a,,394f6c36-9576-405f-9eff-a750a7d470ac,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5758644938468933,0.5746031999588013,0.5833333134651184,0.5874840021133423,0.6593595147132874,1.0,1.0,1.0,1.0,0.3283470571041107,0.5472468733787537,0.5666666030883789,0.5071428418159485,0.4858002066612244,0.7652305364608765,22980,1500,1753688916.4671843,300,3.1471622649714703e-10,51300,facebook/dinov2-base,mean,,,,,,,
7246333626.40116-6c5f844e-a3d2,brainiac_pretrained_t1_2025-07-28_01-37-56,finished,2025-07-28T01:38:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246333626.40116-6c5f844e-a3d2,,94f3941b-bc44-47ce-9cf7-d9589979b7e9,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6430081129074097,0.6746031045913696,0.5,0.42424243688583374,0.6190429925918579,0.9317013025283812,0.9576719999313354,0.8285714387893677,0.8531488180160522,0.4502767026424408,0.5119119882583618,0.49365076422691345,0.5880952477455139,0.45614033937454224,1.866687893867493,26776,1500,1753693471.962087,300,3.1471622649714703e-10,12900,,,,,,,,,
7246333999.32599-b070f3c9-3aec,brainmvp_pretrained_t1_2025-07-28_01-42-51,finished,2025-07-28T01:43:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246333999.32599-b070f3c9-3aec,,5bdd7ae9-d5d1-47d0-9a87-748bfc8b0428,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.520247757434845,0.5150793790817261,0.5,0.42424243688583374,0.983740210533142,0.923376202583313,0.9338624477386476,0.8420634865760803,0.8469935655593872,0.46206098794937134,0.5431312322616577,0.5444444417953491,0.4595237970352173,0.45192307233810425,0.6765954494476318,13607,1500,1753680597.4228127,300,3.1471622649714703e-10,12900,,,,,,,,,
7246333254.51969-eace1c64-ac82,brainiac_scratch_t1_2025-07-28_01-43-26,finished,2025-07-28T01:43:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246333254.51969-eace1c64-ac82,,71d3f494-aa0e-4bd4-bbb7-657599c5c7af,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4896712899208069,0.47460317611694336,0.488095223903656,0.4183673560619354,0.6994277834892273,0.8387542963027954,0.8485008478164673,0.7349206209182739,0.7569713592529297,0.5219808220863342,0.5991179347038269,0.5285714864730835,0.485714316368103,0.4738461375236511,0.8739657998085022,25880,1500,1753692905.4283578,300,3.1471622649714703e-10,12900,,,,,,,,,
7246332887.84294-d60eddd9-21d6,mri_core_pretrained_t1_2025-07-28_02-04-26,finished,2025-07-28T01:57:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1/runs/7246332887.84294-d60eddd9-21d6,,389f6da7-d50d-4319-aed7-80d609c54d68,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,,0.5,0.5292866826057434,0.5444444417953491,0.538095235824585,0.5389527082443237,0.7180555462837219,1.0,1.0,1.0,1.0,0.3288629651069641,0.5705082416534424,0.5444444417953491,0.561904788017273,0.518831193447113,0.9362739324569702,51403,1509,1753719235.6669047,300,3.1471622649714703e-10,51300,,mean,224.0,,,,,,
